@relation GOOG
@attribute PVI numeric
@attribute NVI numeric
@attribute OBV numeric
@attribute TV numeric
@attribute PVT numeric
@attribute ADO numeric
@attribute CO numeric
@attribute CV numeric
@attribute A numeric
@attribute HH numeric
@attribute LL numeric
@attribute RSI numeric
@attribute NPMA numeric
@attribute MACDL numeric
@attribute M numeric
@attribute SOK numeric
@attribute SOD numeric
@attribute TP numeric
@attribute MP numeric
@attribute WC numeric
@attribute WR numeric
@attribute PRC numeric
@attribute WAD numeric
@attribute BUB numeric
@attribute BMB numeric
@attribute BLB numeric
@attribute TFMA numeric
@attribute SFMA numeric
@attribute Trend {up,down,none}
@data
1.0,1.0,1711835.0,1711835.0,0.0,0.0,0.0,0.0,0.0,1091.32,1075.17,0.0,0.0,0.0,0.0,0.0,0.0,1081.26,1083.245,1080.2675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
1.0068412405201943,1.0,1856112.0,1856112.0,12698.108624418885,151519.34693879102,0.0,0.0,Infinity,1092.31,1075.17,100.0,0.0,0.0,7.370000000000118,55.36756126021049,0.0,1084.2066666666667,1083.74,1084.3200000000002,-44.6324387397895,7.370000000000118,9.009999999999991,0.0,0.0,0.0,0.0,0.0,none
1.0068412405201943,0.9939888997473862,-1484103.0,1670107.5,3777.0167062141263,769462.8633838875,0.0,0.0,0.8500000000001364,1092.31,1068.02,NaN,0.0,0.0,0.8500000000001364,41.66323589954769,0.0,1076.1566666666668,1080.165,1076.6525000000001,-58.33676410045231,0.8500000000001364,2.490000000000009,0.0,0.0,0.0,0.0,0.0,none
1.0068412405201943,0.9863643906846383,-1431235.0,1590483.3333333333,-7201.440126850503,2163185.655722566,0.0,0.0,-3.7100000000000364,1092.31,1060.08,NaN,0.0,0.0,-7.420000000000073,30.37542662116028,0.0,1066.6499999999999,1076.195,1067.455,-69.62457337883971,-7.420000000000073,-5.7800000000002,0.0,0.0,0.0,0.0,0.0,none
1.0068412405201943,0.9748123836040785,-1134919.0,1476592.25,-20493.274714230247,2683632.758406315,0.0,0.0,-6.6500000000000155,1092.31,1051.09,NaN,0.0,0.0,-19.950000000000045,15.162542455118864,29.067068325275613,1056.03,1071.6999999999998,1056.3575,-84.83745754488113,-19.950000000000045,-18.310000000000173,0.0,0.0,0.0,0.0,0.0,none
1.0076411219604473,0.9748123836040785,1192139.0,1419701.6,-19546.18412842041,2886586.3220686987,0.0,0.0,-4.777499999999975,1092.31,1050.0,100.0,0.0,0.0,-19.1099999999999,19.33349090049651,21.62381999225855,1057.3866666666665,1071.155,1057.585,-80.66650909950349,-19.1099999999999,-10.13000000000011,0.0,0.0,0.0,0.0,0.0,none
1.002956102096109,0.9748123836040785,-1678054.0,1462760.3333333333,-27348.28365780116,2195349.098767725,0.0,0.0,-4.805999999999995,1092.31,1049.02,NaN,0.0,0.0,-24.029999999999973,9.794409794409823,14.7634810500084,1055.24,1070.665,1054.745,-90.20559020559018,-24.029999999999973,-20.310000000000173,0.0,0.0,0.0,0.0,0.0,none
1.002956102096109,0.9759415170640001,1375234.0,1450256.5714285714,-25755.338440096093,1476416.6356503502,0.0,0.0,-3.8016666666666574,1092.31,1049.02,100.0,0.0,0.0,-22.809999999999945,12.61261261261271,13.913504435839679,1057.1966666666665,1070.665,1056.5175,-87.38738738738729,-22.809999999999945,-16.590000000000146,0.0,0.0,0.0,0.0,0.0,none
1.002956102096109,0.9806709203264583,1192773.0,1418071.125,-19975.17188406859,330223.3343950787,0.0,0.0,-2.528571428571435,1092.31,1049.02,100.0,0.0,0.0,-17.700000000000045,24.41672441672429,15.607915607915608,1061.8866666666665,1070.665,1061.3125,-75.58327558327571,-17.700000000000045,-11.480000000000246,0.0,0.0,0.0,0.0,0.0,none
1.002956102096109,0.9839287480141008,1123559.0,1385347.5555555555,-16242.664329259675,80231.45689505062,0.0,0.0,-1.772500000000008,1092.31,1049.02,100.0,0.0,0.0,-14.180000000000064,32.54793254793238,23.192423192423124,1063.7033333333331,1070.665,1063.5549999999998,-67.45206745206761,-14.180000000000064,-7.960000000000264,0.0,0.0,0.0,0.0,0.0,none
